Month	Date	Year	sampleDir
Jan	27	2015	150127_SRR1279239
Jan	27	2015	150127_SRR1284022
Jan	27	2015	150127_SRR1279650
Jan	27	2015	150127_SRR1279952
Jan	27	2015	150127_SRR1284038
Jan	27	2015	150127_SRR1279889
Jan	27	2015	150127_SRR1275671
Jan	27	2015	150127_SRR1284010
Jan	27	2015	150127_SRR1302244
Jan	27	2015	150127_SRR1280055
Jan	27	2015	150127_SRR1302248
Jan	27	2015	150127_SRR1280001
Jan	27	2015	150127_SRR1279708
Jan	27	2015	150127_SRR1279442
Jan	27	2015	150127_SRR1284213
Jan	27	2015	150127_SRR1284024
Jan	27	2015	150127_SRR1280284
Jan	27	2015	150127_SRR1280504
Jan	27	2015	150127_SRR1397479
Jan	27	2015	150127_SRR1302234
Jan	27	2015	150127_SRR1299965
Jan	27	2015	150127_SRR1397492
Jan	27	2015	150127_SRR1279276
Jan	27	2015	150127_SRR1401714
Jan	27	2015	150127_SRR1279028
Jan	27	2015	150127_SRR1401730
Jan	27	2015	150127_SRR1395497
Jan	27	2015	150127_SRR1404803
Jan	27	2015	150127_SRR1299875
Jan	27	2015	150127_SRR1284032
Jan	27	2015	150127_SRR1397408
Jan	27	2015	150127_SRR1406869
Jan	27	2015	150127_SRR1391201
Jan	27	2015	150127_SRR1410067
Jan	27	2015	150127_SRR1283150
Jan	27	2015	150127_SRR1402749
Jan	27	2015	150127_SRR1411798
Jan	27	2015	150127_SRR1412242
Jan	27	2015	150127_SRR1412087
Jan	27	2015	150127_SRR1395415
Jan	27	2015	150127_SRR1400722
Jan	27	2015	150127_SRR1412394
Jan	27	2015	150127_SRR1427516
Jan	27	2015	150127_SRR1428358
Jan	27	2015	150127_SRR1428405
Jan	27	2015	150127_SRR1427964
Jan	27	2015	150127_SRR1428361
Jan	27	2015	150127_SRR1439163
Jan	27	2015	150127_SRR1428291
Jan	27	2015	150127_SRR1428320
Jan	27	2015	150127_SRR1438629
Jan	27	2015	150127_SRR1439517
Jan	27	2015	150127_SRR1439286
Jan	27	2015	150127_SRR1439467
Jan	27	2015	150127_SRR1412640
Jan	27	2015	150127_SRR1439457
Jan	27	2015	150127_SRR1428614
Jan	27	2015	150127_SRR1439329
Jan	27	2015	150127_SRR1450579
Jan	27	2015	150127_SRR1439616
Jan	27	2015	150127_SRR1439530
Jan	27	2015	150127_SRR1450549
Jan	27	2015	150127_SRR1450259
Jan	27	2015	150127_SRR1429078
Jan	27	2015	150127_SRR1439543
Jan	27	2015	150127_SRR1464019
Jan	27	2015	150127_SRR1501750
Jan	27	2015	150127_SRR1463774
Jan	27	2015	150127_SRR1427394
Jan	27	2015	150127_SRR1463629
Jan	27	2015	150127_SRR1450179
Jan	27	2015	150127_SRR1451682
Jan	27	2015	150127_SRR1450434
Jan	27	2015	150127_SRR1439453
Jan	27	2015	150127_SRR1427492
Jan	27	2015	150127_SRR1439660
Jan	27	2015	150127_SRR1506357
Jan	27	2015	150127_SRR1501756
Jan	27	2015	150127_SRR1463858
Jan	27	2015	150127_SRR1501814
Jan	27	2015	150127_SRR1451005
Jan	27	2015	150127_SRR1407803
Feb	10	2015	150210_SRR1125126
Feb	10	2015	150210_SRR1125117
Feb	10	2015	150210_SRR1125066
Feb	10	2015	150210_SRR1125159
Feb	10	2015	150210_SRR1125211
Feb	10	2015	150210_SRR1125256
Feb	10	2015	150210_SRR1125226
Feb	10	2015	150210_SRR1125147
Feb	10	2015	150210_SRR1125259
Feb	10	2015	150210_SRR1125322
Feb	10	2015	150210_SRR1125238
Feb	10	2015	150210_SRR1125367
Feb	10	2015	150210_SRR1125280
Feb	10	2015	150210_SRR1125346
Feb	10	2015	150210_SRR1125424
Feb	10	2015	150210_SRR1125328
Feb	10	2015	150210_SRR1125271
Feb	10	2015	150210_SRR1125373
Feb	10	2015	150210_SRR1125340
Feb	10	2015	150210_SRR1125400
Feb	10	2015	150210_SRR1125409
Feb	10	2015	150210_SRR1125310
Feb	10	2015	150210_SRR1125444
Feb	10	2015	150210_SRR1125337
Feb	10	2015	150210_SRR1125385
Feb	10	2015	150210_SRR1125449
Feb	10	2015	150210_SRR1125426
Feb	10	2015	150210_SRR1125397
Feb	10	2015	150210_SRR1125503
Feb	10	2015	150210_SRR1125571
Feb	10	2015	150210_SRR1125517
Feb	10	2015	150210_SRR1125429
Feb	10	2015	150210_SRR1125458
Feb	10	2015	150210_SRR1125547
Feb	10	2015	150210_SRR1125470
Feb	10	2015	150210_SRR1125722
Feb	10	2015	150210_SRR1125687
Feb	10	2015	150210_SRR1125757
Feb	10	2015	150210_SRR1125432
Feb	10	2015	150210_SRR1125685
Feb	10	2015	150210_SRR1125748
Feb	10	2015	150210_SRR1125659
Feb	10	2015	150210_SRR1125754
Feb	10	2015	150210_SRR1125574
Feb	10	2015	150210_SRR1125501
Feb	10	2015	150210_SRR1125760
Feb	10	2015	150210_SRR1125511
Feb	10	2015	150210_SRR1125713
Feb	10	2015	150210_SRR1125549
Feb	10	2015	150210_SRR1125565
Feb	10	2015	150210_SRR1125795
Feb	10	2015	150210_SRR1125803
Feb	10	2015	150210_SRR1125899
Feb	10	2015	150210_SRR1125902
Feb	10	2015	150210_SRR1125858
Feb	10	2015	150210_SRR1125896
Feb	10	2015	150210_SRR1125914
Feb	10	2015	150210_SRR1125923
Feb	10	2015	150210_SRR1125792
Feb	10	2015	150210_SRR1125917
Feb	10	2015	150210_SRR1125893
Feb	10	2015	150210_SRR1126088
Feb	10	2015	150210_SRR1126082
Feb	10	2015	150210_SRR1125905
Feb	10	2015	150210_SRR1125926
Feb	10	2015	150210_SRR1125911
Feb	10	2015	150210_SRR1126132
Feb	10	2015	150210_SRR1126099
Feb	10	2015	150210_SRR1126108
Feb	10	2015	150210_SRR1126114
Feb	10	2015	150210_SRR1126164
Feb	10	2015	150210_SRR1126093
Feb	10	2015	150210_SRR1126179
Feb	10	2015	150210_SRR1126111
Feb	10	2015	150210_SRR1126096
Feb	10	2015	150210_SRR1126170
Feb	10	2015	150210_SRR1126217
Feb	10	2015	150210_SRR1126138
Feb	10	2015	150210_SRR1126105
Feb	10	2015	150210_SRR1126102
Feb	10	2015	150210_SRR1126214
Feb	10	2015	150210_SRR1126208
Feb	10	2015	150210_SRR1126275
Feb	10	2015	150210_SRR1126211
Feb	10	2015	150210_SRR1126126
Feb	10	2015	150210_SRR1126399
Feb	10	2015	150210_SRR1126173
Feb	10	2015	150210_SRR1126578
Feb	10	2015	150210_SRR1126220
Feb	10	2015	150210_SRR1126616
Feb	10	2015	150210_SRR1126552
Feb	10	2015	150210_SRR1126526
Feb	10	2015	150210_SRR1126176
Feb	10	2015	150210_SRR1126226
Feb	10	2015	150210_SRR1126167
Feb	10	2015	150210_SRR1126278
Feb	10	2015	150210_SRR1126584
Feb	10	2015	150210_SRR1126428
Feb	10	2015	150210_SRR1126581
Feb	12	2015	150212_SRR1126894
Feb	12	2015	150212_SRR1126622
Feb	12	2015	150212_SRR1126903
Feb	12	2015	150212_SRR1126648
Feb	12	2015	150212_SRR1126789
Feb	12	2015	150212_SRR1126953
Feb	12	2015	150212_SRR1126983
Feb	12	2015	150212_SRR1126918
Feb	12	2015	150212_SRR1126959
Feb	12	2015	150212_SRR1126915
Feb	12	2015	150212_SRR1126974
Feb	12	2015	150212_SRR1126882
Feb	12	2015	150212_SRR1126909
Feb	12	2015	150212_SRR1126912
Feb	12	2015	150212_SRR1126971
Feb	12	2015	150212_SRR1126821
Feb	12	2015	150212_SRR1126891
Feb	12	2015	150212_SRR1126876
Feb	12	2015	150212_SRR1126989
Feb	12	2015	150212_SRR1126977
Feb	12	2015	150212_SRR1127187
Feb	12	2015	150212_SRR1126900
Feb	12	2015	150212_SRR1127217
Feb	12	2015	150212_SRR1126870
Feb	12	2015	150212_SRR1127105
Feb	12	2015	150212_SRR1127193
Feb	12	2015	150212_SRR1126950
Feb	12	2015	150212_SRR1126619
Feb	12	2015	150212_SRR1127208
Feb	12	2015	150212_SRR1126879
Feb	12	2015	150212_SRR1127205
Feb	12	2015	150212_SRR1126980
Feb	12	2015	150212_SRR1127238
Feb	12	2015	150212_SRR1127275
